label,review
0.0,the first live action one was bad enough!!
1.0,Love Alice and I love johnny depp
0.0,Boring and really terrible
1.0,"Full of fantasy, visuals and as stunning as its predecessor, Alice Through The Looking Glass undeniably serves a world of favorite fantasy world to wonderland"
1.0,I enjoyed watching this movie.
1.0,incorrect but good. way better than the 1st one
0.0,I don't know HOW in the world anyone actually liked this movie. It just drags on and on and on and on and on. The characters are corny and Johnny Depp on top of being WASTED in this movie just wasn't funny. I'd recommend a Sy-Fy Original Film like Sharknado over this disaster of a Disney sequel.
1.0,I absolutely adored this movie!!!! so very awesome!!!!
1.0,This is one of the best movies of 2016. The visuals are some of the best in the history of cinema and the story is perfectly substantial. Tim Burton influence obvious and inspired.
0.0,This was terrible. Just terrible.
1.0,This movie has a great story and made my imagination soar to new heights. I will be watching this movie for years to come!
1.0,Daughter suggested the movie and I was hooked in the first five minutes. Loved it!
0.0,"Bad bad bad bad bad bad bad bad bad. Boring, weird, stupid!"
0.0,This was kind of a slow movie I'm not sure if it was just because I was tired or what but I didn't really enjoy it but it was still ok I guess
0.0,"Boring, predictable, bad acted, uninteresting, Alice through the Looking Glass is one of the worst Disney's live action movie adaptation ever."
1.0,Love love loved it!!
0.0,F**k no! F**k no! F**k no! Pls god not this is its so damn shitty it's embarisng... Hopefully they sell this next to the bleach and comes with free therapy sessions and thoughts on killing yourself
0.0,i knoww this movie must be clear and easy to understand for kids who are watching but reallyalice acting Idiotically
0.0,Couldn't even finish this hunk of crap
1.0,come on...Alice. .excellent
1.0,"Amazing acting, colors, music and everything is brilliant!"
1.0,Johnny Depp's best performance
1.0,"Visually very impressive, and Sacha Baron Cohen put in his best performance to date. I can understand that the movie is not everyone's cup of tea, but I think anyone who like surreal and absurd scenes will enjoy it."
1.0,Enchanting and absolutely wonderful. Loved every minute of this beautiful movie!
0.0,"2 out of 10:Even if it is as visually stunning as the first movie, the storyline in Through the Looking Glass is filled with plot holes and the film bares a dull pace."
1.0,I definitely love Alice through the looking glass very colorful an interesting movie I just loved it a whole lot
1.0,I don't get why people are hating on this movieIt was on acting and special effects the same as the first movieIt kinda looks like all the movie credits are stupid zombies
1.0,I thought this movie was excellent. Alice was back and was the same spunky girl that I enjoyed watching in the first movie. I thought the rest of the cast also gave an excellent performance.
0.0,The only thing this shares with the book is the title. Another terrible Alice movie. Hopefully they quit butchering this classic heroine.
0.0,Sequel to the okay Disney live action Lewis Carrol classic although this one really fails to captivate or match the first one. The original cast returns with Johnny Depp but it's hard to recommend just based on that
0.0,Barely watchable. It's like a CGI nightmare. Nothing was good about this.
1.0,"Very rare that I prefer the sequel to the prequel! Very enjoyable, absolutely loved it!"
0.0,I have no idea how this movie happened much less what happened on screen.
1.0,Best graphics I have ever seen then again it's a Tim Burton movie so nuff said.
1.0,Almost perfect! A MASTERPIECE!! The only problem I had with it was the choice in song when the credits started.
1.0,I especially liked this movie. it was visually appealing and the story and message was impressive.
1.0,"i dont understand the poor reviews, i think it was great."
0.0,"SO bad, so lifeless, so forcefully ""quirky""...i couldn't finish this piece of crap...don't watch.."
1.0,"I grew up on Alice in wonderland.Every movie with the story line takes me back to my childhood.Well made,loved it!Love them all!"
0.0,Worst film ever bored to hell
0.0,"I removed my eyeballs from my head as soon as I got back from this movie and cleaned them in a sink. I could have left them in andn only cleaned the fronts, but I didn't want to take any chances. I guess my point is that the visual thrills outweighed the underwhelming story."
1.0,idk why people hated it I thought it was awesome
1.0,My son and I enjoyed it.
1.0,I love it I really want to watch it ?¡ã~(TM)?¡ã~(TM)?¡ã~(TM)?¡ã~(TM)?¡ã~(TM)
1.0,10 times better than the first one
1.0,That was a great movie.
0.0,Suitable for younger kids may be. Funny though when seconds made into minute and minutes into hours were made into robots With a hint of the Transformers.
1.0,This movie gave me a message the message was that time is valuable and you should be proud to have because with out time you have nothing. Time is a give so be proud to have it.
1.0,"The jokes may be the same and the plot may seem too simple, but the movie has an emotion that little are able to achieve. Alice trough the looking glass may not be fit for your advanced critics, but it certainly is more than many of your Hightops... :)"
1.0,it was fun and cool to watch
0.0,Pointless pointless pointless
0.0,Casi dos horas de una perorata rid¨ªcula y sin sentido. Y se los dice alguien que vio las 3 de The Expendables...
